,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster
423,Male,Single,34,High School,145896,management / self-employed / highly qualified employee / officer,Big city,1
424,Female,Married,25,High School,122552,Skilled Employee/Official,Big city,0
425,Male,Married,21,High School,115494,Skilled Employee/Official,Big city,0
426,Male,Single,29,other/unknown,109467,Skilled Employee/Official,Small City,1
427,Male,Single,46,High School,148226,Skilled Employee/Official,Big city,1
428,Male,Single,20,other/unknown,88559,Skilled Employee/Official,Mid-sized city,1
429,Female,Married,55,University,62393,Unemployed/Unskilled,Small City,2
432,Male,Single,36,High School,136689,management / self-employed / highly qualified employee / officer,Big city,1
433,Male,Married,33,High School,109145,Skilled Employee/Official,Small City,0
434,Male,Single,25,other/unknown,100449,Skilled Employee/Official,Big city,1
435,Male,Married,25,High School,106253,Skilled Employee/Official,Small City,0
436,Male,Married,23,High School,84747,Unemployed/Unskilled,Small City,3
437,Female,Married,37,High School,149465,Skilled Employee/Official,Mid-sized city,0
439,Female,Married,26,High School,51681,Unemployed/Unskilled,Small City,3
440,Male,Single,39,High School,139198,management / self-employed / highly qualified employee / officer,Mid-sized city,1
441,Female,Married,30,High School,106577,Skilled Employee/Official,Mid-sized city,0
442,Male,Single,29,other/unknown,117372,Skilled Employee/Official,Big city,1
443,Male,Single,41,High School,69609,Unemployed/Unskilled,Small City,3
444,Female,Married,30,High School,178947,management / self-employed / highly qualified employee / officer,Big city,0
445,Female,Married,41,University,81743,Unemployed/Unskilled,Small City,2
446,Female,Married,34,High School,111900,Skilled Employee/Official,Mid-sized city,0
447,Male,Single,35,High School,121650,Skilled Employee/Official,Small City,1
448,Female,Married,55,University,172639,management / self-employed / highly qualified employee / officer,Big city,2
449,Male,Married,61,University,175740,Skilled Employee/Official,Mid-sized city,2
451,Female,Married,29,High School,95200,Skilled Employee/Official,Mid-sized city,0
452,Male,Single,34,High School,113609,Skilled Employee/Official,Mid-sized city,1
453,Male,Single,35,High School,143552,management / self-employed / highly qualified employee / officer,Big city,1
454,Male,Single,31,other/unknown,130973,Skilled Employee/Official,Big city,1
455,Female,Married,29,High School,145946,management / self-employed / highly qualified employee / officer,Big city,0
456,Male,Single,36,High School,126206,Skilled Employee/Official,Mid-sized city,1
457,Male,Single,35,High School,120426,Skilled Employee/Official,Small City,1
458,Female,Married,27,High School,91925,Skilled Employee/Official,Big city,0
459,Male,Single,32,other/unknown,129630,Skilled Employee/Official,Big city,1
460,Male,Single,37,High School,124268,Skilled Employee/Official,Big city,1
461,Male,Single,36,High School,105240,Skilled Employee/Official,Mid-sized city,1
462,Female,Married,34,High School,162180,management / self-employed / highly qualified employee / officer,Small City,0
463,Male,Single,38,High School,106552,Skilled Employee/Official,Big city,1
464,Male,Single,34,High School,105843,Skilled Employee/Official,Big city,1
465,Male,Single,63,University,138327,Skilled Employee/Official,Mid-sized city,2
466,Female,Married,29,High School,76154,Unemployed/Unskilled,Small City,3
467,Male,Single,32,other/unknown,155012,Skilled Employee/Official,Mid-sized city,1
468,Female,Married,26,High School,114369,Skilled Employee/Official,Mid-sized city,0
469,Male,Single,35,High School,102839,Unemployed/Unskilled,Small City,3
470,Male,Married,22,High School,132796,Skilled Employee/Official,Small City,0
471,Female,Married,23,High School,89742,Skilled Employee/Official,Big city,0
472,Male,Single,28,other/unknown,58615,Unemployed/Unskilled,Small City,3
473,Male,Single,36,High School,130603,management / self-employed / highly qualified employee / officer,Big city,1
474,Male,Married,33,High School,110340,Skilled Employee/Official,Small City,0
475,Female,Married,26,High School,117729,Skilled Employee/Official,Big city,0
476,Male,Single,24,other/unknown,130808,Skilled Employee/Official,Small City,1
477,Male,Single,25,other/unknown,147402,Skilled Employee/Official,Big city,1
478,Male,Single,39,High School,93567,Unemployed/Unskilled,Small City,3
479,Male,Single,44,High School,109289,Skilled Employee/Official,Mid-sized city,1
480,Female,Married,23,High School,98742,Unemployed/Unskilled,Small City,3
481,Male,Single,26,other/unknown,101270,Skilled Employee/Official,Small City,1
482,Female,Married,57,University,187835,Skilled Employee/Official,Mid-sized city,2
483,Female,Married,30,High School,140741,Skilled Employee/Official,Small City,0
484,Male,Single,44,High School,133265,Skilled Employee/Official,Big city,1
485,Male,Single,47,High School,148100,management / self-employed / highly qualified employee / officer,Big city,1
486,Male,Single,52,High School,131021,Skilled Employee/Official,Big city,1
487,Female,Married,62,University,152620,Skilled Employee/Official,Big city,2
488,Male,Single,35,High School,85033,Unemployed/Unskilled,Small City,3
489,Male,Single,26,other/unknown,114514,Skilled Employee/Official,Mid-sized city,1
490,Male,Single,26,other/unknown,99307,Skilled Employee/Official,Mid-sized city,1
492,Female,Married,27,High School,114007,Skilled Employee/Official,Small City,0
493,Male,Single,38,High School,102846,Skilled Employee/Official,Small City,1
494,Male,Single,39,High School,81483,Unemployed/Unskilled,Small City,3
495,Male,Married,20,High School,107779,Skilled Employee/Official,Big city,0
497,Male,Single,40,High School,107125,Skilled Employee/Official,Small City,1
498,Male,Married,32,High School,80080,Unemployed/Unskilled,Small City,3
499,Male,Married,28,High School,129600,Skilled Employee/Official,Small City,0
500,Female,Married,27,High School,118613,Skilled Employee/Official,Mid-sized city,0
501,Male,Single,42,High School,146237,Skilled Employee/Official,Mid-sized city,1
502,Male,Married,49,University,144461,Skilled Employee/Official,Big city,2
503,Male,Single,38,High School,124487,Skilled Employee/Official,Small City,1
504,Female,Married,24,High School,97826,Skilled Employee/Official,Small City,0
505,Male,Single,27,other/unknown,64105,Unemployed/Unskilled,Small City,3
506,Male,Single,36,High School,156374,Skilled Employee/Official,Big city,1
508,Male,Married,28,High School,98964,Skilled Employee/Official,Big city,0
510,Male,Single,26,other/unknown,88027,Skilled Employee/Official,Big city,1
511,Male,Single,32,other/unknown,160513,management / self-employed / highly qualified employee / officer,Big city,1
512,Male,Single,26,other/unknown,124536,Skilled Employee/Official,Big city,1
513,Male,Married,20,High School,93634,Skilled Employee/Official,Small City,0
514,Male,Single,54,High School,124725,Skilled Employee/Official,Small City,1
515,Female,Married,37,High School,102456,Skilled Employee/Official,Small City,0
516,Male,Single,40,High School,74975,Unemployed/Unskilled,Small City,3
517,Female,Married,23,High School,153861,Skilled Employee/Official,Mid-sized city,0
518,Male,Single,43,High School,119351,Skilled Employee/Official,Big city,1
519,Male,Single,36,High School,95438,Skilled Employee/Official,Big city,1
520,Male,Single,44,High School,147967,Skilled Employee/Official,Big city,1
521,Female,Married,24,High School,116863,Skilled Employee/Official,Mid-sized city,0
522,Male,Single,53,High School,170622,Skilled Employee/Official,Mid-sized city,1
523,Female,Married,23,High School,132426,Skilled Employee/Official,Mid-sized city,0
524,Female,Married,26,High School,77519,Unemployed/Unskilled,Small City,3
525,Male,Single,30,other/unknown,169405,Skilled Employee/Official,Big city,1
526,Female,Married,31,High School,120030,Skilled Employee/Official,Small City,0
527,Male,Single,42,High School,77933,Unemployed/Unskilled,Small City,3
528,Male,Married,31,High School,109892,Skilled Employee/Official,Mid-sized city,0
529,Male,Single,41,High School,69062,Unemployed/Unskilled,Small City,3
530,Male,Single,32,other/unknown,116348,Skilled Employee/Official,Small City,1
531,Female,Married,28,High School,137188,Skilled Employee/Official,Mid-sized city,0
532,Male,Married,41,High School,110199,Skilled Employee/Official,Small City,0
533,Male,Married,26,High School,109890,Skilled Employee/Official,Mid-sized city,0
534,Male,Single,25,other/unknown,109751,Skilled Employee/Official,Big city,1
535,Male,Married,33,High School,129651,Skilled Employee/Official,Mid-sized city,0
537,Female,Married,37,High School,140285,Skilled Employee/Official,Mid-sized city,0
539,Female,Married,45,University,120262,Unemployed/Unskilled,Small City,2
540,Male,Married,23,High School,105137,Skilled Employee/Official,Mid-sized city,0
541,Male,Single,60,University,127371,Skilled Employee/Official,Small City,2
542,Male,Single,31,other/unknown,145689,Skilled Employee/Official,Small City,1
543,Male,Single,34,High School,102617,Unemployed/Unskilled,Mid-sized city,3
544,Male,Single,61,University,90709,Unemployed/Unskilled,Small City,2
545,Male,Single,43,High School,107099,Skilled Employee/Official,Mid-sized city,1
546,Female,Married,37,High School,116021,Skilled Employee/Official,Big city,0
547,Male,Single,32,other/unknown,100426,Skilled Employee/Official,Big city,1
548,Female,Married,24,High School,62249,Unemployed/Unskilled,Small City,3
549,Male,Single,35,High School,172957,Skilled Employee/Official,Mid-sized city,1
550,Female,Married,23,High School,95003,Skilled Employee/Official,Mid-sized city,0
551,Male,Single,45,High School,109698,Unemployed/Unskilled,Small City,3
552,Male,Married,34,High School,157376,Skilled Employee/Official,Small City,0
553,Male,Single,27,other/unknown,123191,Skilled Employee/Official,Big city,1
555,Male,Single,22,other/unknown,99328,Skilled Employee/Official,Small City,1
556,Female,Married,28,High School,133799,Skilled Employee/Official,Big city,0
557,Female,Married,29,High School,138256,Skilled Employee/Official,Big city,0
558,Male,Single,27,other/unknown,115638,Skilled Employee/Official,Small City,1
559,Male,Single,31,other/unknown,82238,Unemployed/Unskilled,Small City,3
560,Male,Single,49,High School,127543,Skilled Employee/Official,Mid-sized city,1
561,Male,Single,24,other/unknown,63987,Unemployed/Unskilled,Small City,3
562,Female,Married,29,High School,114784,Skilled Employee/Official,Small City,0
564,Male,Single,37,High School,173751,management / self-employed / highly qualified employee / officer,Big city,1
565,Female,Married,23,High School,122850,Skilled Employee/Official,Small City,0
566,Male,Married,36,High School,104953,Skilled Employee/Official,Small City,0
567,Male,Single,34,High School,152371,Skilled Employee/Official,Mid-sized city,1
568,Male,Single,41,High School,139905,Skilled Employee/Official,Small City,1
569,Female,Married,31,High School,156700,Skilled Employee/Official,Mid-sized city,0
570,Female,Married,23,High School,86488,Unemployed/Unskilled,Small City,3
571,Male,Single,38,High School,147472,Skilled Employee/Official,Small City,1
572,Female,Married,26,High School,169991,management / self-employed / highly qualified employee / officer,Small City,0
573,Female,Married,22,High School,62381,Unemployed/Unskilled,Small City,3
574,Male,Single,27,other/unknown,70926,Unemployed/Unskilled,Small City,3
575,Female,Married,24,High School,113004,Skilled Employee/Official,Mid-sized city,0
576,Female,Married,27,High School,125760,Skilled Employee/Official,Small City,0
577,Female,Married,33,High School,111918,Skilled Employee/Official,Big city,0
578,Male,Married,27,High School,120674,Skilled Employee/Official,Mid-sized city,0
579,Male,Married,27,High School,63597,Unemployed/Unskilled,Small City,3
580,Male,Single,30,other/unknown,103069,Skilled Employee/Official,Mid-sized city,1
581,Male,Single,49,High School,108079,Unemployed/Unskilled,Small City,3
582,Female,Married,26,High School,101159,Skilled Employee/Official,Mid-sized city,0
583,Male,Single,33,High School,88211,Unemployed/Unskilled,Small City,3
584,Female,Married,52,University,159052,management / self-employed / highly qualified employee / officer,Mid-sized city,2
585,Female,Married,20,High School,102623,Skilled Employee/Official,Big city,0
586,Male,Single,36,High School,115589,Skilled Employee/Official,Small City,1
587,Male,Single,21,other/unknown,59127,Unemployed/Unskilled,Small City,3
588,Male,Married,47,University,82240,Unemployed/Unskilled,Small City,2
589,Male,Single,60,University,129425,Skilled Employee/Official,Mid-sized city,2
590,Female,Married,58,University,87058,Unemployed/Unskilled,Small City,2
591,Female,Married,42,University,128462,Skilled Employee/Official,Big city,2
592,Female,Married,36,High School,121403,Unemployed/Unskilled,Small City,3
593,Female,Married,20,High School,88141,Unemployed/Unskilled,Small City,3
594,Male,Single,40,High School,134946,management / self-employed / highly qualified employee / officer,Big city,1
595,Female,Married,32,High School,94058,Unemployed/Unskilled,Small City,3
596,Female,Married,23,High School,99285,Skilled Employee/Official,Mid-sized city,0
597,Male,Single,36,High School,108432,Unemployed/Unskilled,Small City,3
598,Male,Single,31,other/unknown,111369,Skilled Employee/Official,Small City,1
599,Male,Single,32,other/unknown,122612,Skilled Employee/Official,Big city,1
600,Female,Married,45,University,134350,Skilled Employee/Official,Small City,2
601,Female,Married,30,High School,108838,Skilled Employee/Official,Big city,0
602,Female,Married,34,High School,90852,Unemployed/Unskilled,Small City,3
603,Female,Married,28,High School,151580,management / self-employed / highly qualified employee / officer,Big city,0
604,Female,Married,23,High School,115681,Skilled Employee/Official,Mid-sized city,0
605,Male,Single,22,other/unknown,131699,Skilled Employee/Official,Mid-sized city,1
607,Female,Married,50,University,155122,Skilled Employee/Official,Big city,2
608,Male,Single,33,High School,106015,Skilled Employee/Official,Big city,1
609,Male,Single,45,High School,108378,Skilled Employee/Official,Small City,1
610,Female,Married,22,High School,105257,Skilled Employee/Official,Mid-sized city,0
611,Female,Married,48,University,118788,Unemployed/Unskilled,Small City,2
612,Female,Married,29,High School,162955,Skilled Employee/Official,Big city,0
613,Female,Married,22,High School,119511,Skilled Employee/Official,Big city,0
614,Female,Married,22,High School,102000,Skilled Employee/Official,Small City,0
617,Male,Single,37,High School,124805,Skilled Employee/Official,Small City,1
618,Female,Married,21,High School,139379,Skilled Employee/Official,Small City,0
619,Male,Married,49,University,78296,Unemployed/Unskilled,Small City,2
620,Male,Single,27,other/unknown,125598,Skilled Employee/Official,Mid-sized city,1
621,Male,Single,32,other/unknown,100215,Skilled Employee/Official,Big city,1
622,Male,Married,38,High School,130951,Skilled Employee/Official,Big city,1
623,Female,Married,22,High School,102480,Skilled Employee/Official,Big city,0
625,Male,Single,35,High School,106919,Skilled Employee/Official,Mid-sized city,1
626,Male,Single,41,High School,131020,Skilled Employee/Official,Big city,1
627,Male,Single,29,other/unknown,119429,Skilled Employee/Official,Mid-sized city,1
628,Male,Single,36,High School,154521,Skilled Employee/Official,Mid-sized city,1
629,Male,Single,64,University,117842,Unemployed/Unskilled,Small City,2
630,Female,Married,28,High School,124566,Skilled Employee/Official,Big city,0
631,Male,Single,44,High School,110009,Skilled Employee/Official,Big city,1
632,Male,Single,23,other/unknown,101210,Skilled Employee/Official,Mid-sized city,1
633,Female,Married,19,High School,101258,Skilled Employee/Official,Small City,0
634,Female,Married,25,High School,79045,Unemployed/Unskilled,Small City,3
635,Male,Single,47,High School,110866,Skilled Employee/Official,Small City,1
636,Female,Married,28,High School,129640,Skilled Employee/Official,Big city,0
638,Female,Married,34,High School,108549,Skilled Employee/Official,Mid-sized city,0
639,Male,Single,26,other/unknown,122693,Skilled Employee/Official,Small City,1
641,Male,Single,38,High School,81870,Unemployed/Unskilled,Small City,3
642,Male,Single,40,High School,179790,management / self-employed / highly qualified employee / officer,Big city,1
643,Male,Married,33,High School,107158,Skilled Employee/Official,Mid-sized city,0
644,Male,Married,32,High School,136638,management / self-employed / highly qualified employee / officer,Mid-sized city,0
645,Male,Single,27,other/unknown,158147,Skilled Employee/Official,Big city,1
646,Male,Married,32,High School,132587,Skilled Employee/Official,Big city,0
647,Female,Married,26,High School,128140,Skilled Employee/Official,Big city,0
648,Male,Single,38,High School,117405,Skilled Employee/Official,Mid-sized city,1
649,Male,Single,40,High School,68475,Unemployed/Unskilled,Small City,3
651,Male,Single,37,High School,86967,Unemployed/Unskilled,Small City,3
652,Male,Single,45,High School,118006,Skilled Employee/Official,Mid-sized city,1
654,Male,Single,35,High School,110442,Skilled Employee/Official,Small City,1
655,Male,Single,22,other/unknown,115691,Skilled Employee/Official,Big city,1
656,Male,Single,41,High School,80232,Unemployed/Unskilled,Small City,3
657,Male,Single,37,High School,187647,Skilled Employee/Official,Mid-sized city,1
658,Female,Married,28,High School,138952,Skilled Employee/Official,Mid-sized city,0
659,Male,Single,41,High School,162772,Skilled Employee/Official,Big city,1
660,Male,Married,23,High School,111862,Skilled Employee/Official,Mid-sized city,0
661,Male,Married,23,High School,90051,Skilled Employee/Official,Mid-sized city,0
662,Male,Single,50,High School,121400,Skilled Employee/Official,Mid-sized city,1
663,Male,Single,35,High School,137000,management / self-employed / highly qualified employee / officer,Big city,1
664,Female,Married,50,University,105031,Unemployed/Unskilled,Small City,2
665,Male,Single,27,other/unknown,172153,management / self-employed / highly qualified employee / officer,Big city,1
666,Male,Single,34,High School,170184,Skilled Employee/Official,Mid-sized city,1
667,Female,Married,27,High School,123279,Skilled Employee/Official,Mid-sized city,0
668,Male,Single,43,High School,140795,Skilled Employee/Official,Small City,1
669,Male,Single,47,High School,144456,Skilled Employee/Official,Small City,1
670,Male,Single,27,other/unknown,104773,Unemployed/Unskilled,Small City,3
671,Male,Single,31,other/unknown,153353,Skilled Employee/Official,Mid-sized city,1
673,Male,Married,24,High School,129177,Skilled Employee/Official,Big city,0
674,Male,Single,41,High School,114475,Unemployed/Unskilled,Mid-sized city,1
675,Female,Married,26,High School,161323,management / self-employed / highly qualified employee / officer,Mid-sized city,0
676,Male,Single,33,High School,135765,Skilled Employee/Official,Big city,1
677,Male,Married,24,High School,158421,Skilled Employee/Official,Small City,0
678,Male,Single,64,University,103941,Unemployed/Unskilled,Small City,2
679,Female,Married,26,High School,101783,Skilled Employee/Official,Big city,0
680,Female,Married,56,University,126531,Skilled Employee/Official,Mid-sized city,2
681,Male,Single,37,High School,111394,Skilled Employee/Official,Mid-sized city,1
682,Male,Married,33,High School,103577,Skilled Employee/Official,Big city,0
683,Male,Married,47,University,149545,Skilled Employee/Official,Mid-sized city,2
684,Male,Single,31,other/unknown,171857,Unemployed/Unskilled,Small City,1
685,Male,Single,34,High School,149782,Skilled Employee/Official,Mid-sized city,1
686,Male,Single,27,other/unknown,112470,Skilled Employee/Official,Mid-sized city,1
687,Male,Single,30,other/unknown,133907,Skilled Employee/Official,Big city,1
688,Male,Single,35,High School,127849,Skilled Employee/Official,Mid-sized city,1
689,Male,Single,31,other/unknown,160279,Skilled Employee/Official,Big city,1
690,Male,Married,25,High School,92366,Skilled Employee/Official,Big city,0
691,Female,Married,25,High School,104794,Unemployed/Unskilled,Small City,3
692,Male,Single,29,other/unknown,133436,Skilled Employee/Official,Mid-sized city,1
693,Male,Single,44,High School,110374,Unemployed/Unskilled,Small City,3
694,Male,Single,28,other/unknown,104263,Skilled Employee/Official,Mid-sized city,1
695,Male,Single,50,High School,138752,Skilled Employee/Official,Small City,1
696,Male,Single,29,other/unknown,102723,Skilled Employee/Official,Small City,1
697,Female,Married,38,High School,46297,Unemployed/Unskilled,Small City,3
698,Male,Single,24,other/unknown,96425,Skilled Employee/Official,Mid-sized city,1
699,Male,Single,40,High School,158197,management / self-employed / highly qualified employee / officer,Mid-sized city,1
700,Female,Married,29,High School,98008,Unemployed/Unskilled,Small City,3
701,Male,Single,46,High School,157473,Skilled Employee/Official,Small City,1
702,Female,Married,47,University,149306,Skilled Employee/Official,Small City,2
703,Male,Single,41,High School,139236,Skilled Employee/Official,Mid-sized city,1
704,Female,Married,32,High School,125890,Skilled Employee/Official,Big city,0
705,Female,Married,35,High School,173124,Skilled Employee/Official,Mid-sized city,0
706,Male,Single,24,other/unknown,164621,Skilled Employee/Official,Mid-sized city,1
707,Female,Married,25,High School,124539,Skilled Employee/Official,Mid-sized city,0
708,Female,Married,25,High School,107614,Skilled Employee/Official,Mid-sized city,0
709,Male,Single,37,High School,88849,Unemployed/Unskilled,Small City,3
710,Male,Single,32,other/unknown,148566,management / self-employed / highly qualified employee / officer,Big city,1
711,Female,Married,35,High School,106515,Skilled Employee/Official,Big city,0
712,Male,Single,46,High School,150465,management / self-employed / highly qualified employee / officer,Mid-sized city,1
713,Male,Single,25,other/unknown,60868,Unemployed/Unskilled,Small City,3
715,Male,Single,63,University,183178,Skilled Employee/Official,Mid-sized city,2
716,Male,Single,40,High School,121448,Skilled Employee/Official,Big city,1
717,Male,Single,32,other/unknown,129975,management / self-employed / highly qualified employee / officer,Big city,1
718,Male,Single,31,other/unknown,132950,Skilled Employee/Official,Big city,1
719,Male,Married,31,High School,169314,Skilled Employee/Official,Mid-sized city,0
720,Male,Single,34,High School,147958,management / self-employed / highly qualified employee / officer,Mid-sized city,1
721,Female,Married,24,High School,139896,Skilled Employee/Official,Big city,0
722,Female,Married,24,High School,68028,Unemployed/Unskilled,Small City,3
724,Female,Married,21,High School,108518,Skilled Employee/Official,Big city,0
725,Female,Married,41,University,112700,Unemployed/Unskilled,Small City,2
726,Male,Married,47,University,110190,Unemployed/Unskilled,Small City,2
727,Female,Married,25,High School,105104,Skilled Employee/Official,Mid-sized city,0
728,Female,Married,59,University,184753,Skilled Employee/Official,Mid-sized city,2
729,Male,Married,36,High School,162521,Skilled Employee/Official,Big city,1
730,Male,Single,33,High School,156794,Skilled Employee/Official,Mid-sized city,1
731,Male,Single,21,other/unknown,65827,Unemployed/Unskilled,Small City,3
732,Female,Married,44,University,88490,Unemployed/Unskilled,Small City,2
733,Female,Married,28,High School,154919,Skilled Employee/Official,Big city,0
734,Female,Married,37,High School,129058,Skilled Employee/Official,Small City,0
735,Female,Married,29,High School,77532,Unemployed/Unskilled,Small City,3
737,Male,Single,35,High School,113468,Unemployed/Unskilled,Small City,3
738,Male,Single,45,High School,190803,management / self-employed / highly qualified employee / officer,Big city,1
739,Female,Married,26,High School,121423,Unemployed/Unskilled,Small City,3
740,Male,Single,32,other/unknown,121347,Skilled Employee/Official,Mid-sized city,1
741,Male,Single,23,other/unknown,67408,Unemployed/Unskilled,Small City,3
742,Male,Single,41,High School,123043,Skilled Employee/Official,Mid-sized city,1
743,Male,Single,22,other/unknown,128387,Skilled Employee/Official,Big city,1
745,Male,Single,28,other/unknown,69588,Unemployed/Unskilled,Small City,3
746,Female,Married,23,High School,109547,Skilled Employee/Official,Mid-sized city,0
747,Female,Married,37,High School,78840,Unemployed/Unskilled,Small City,3
748,Male,Single,26,other/unknown,131122,Skilled Employee/Official,Small City,1
749,Male,Single,33,High School,115403,Skilled Employee/Official,Mid-sized city,1
750,Female,Married,49,University,110291,Skilled Employee/Official,Big city,2
751,Female,Married,23,High School,64811,Unemployed/Unskilled,Small City,3
752,Female,Married,23,High School,86015,Unemployed/Unskilled,Small City,3
753,Female,Married,25,High School,142438,Skilled Employee/Official,Big city,0
754,Male,Single,55,High School,159303,Skilled Employee/Official,Mid-sized city,1
755,Female,Married,32,High School,104957,Skilled Employee/Official,Mid-sized city,0
757,Male,Single,39,High School,121313,Skilled Employee/Official,Mid-sized city,1
758,Male,Single,31,other/unknown,98102,Skilled Employee/Official,Small City,1
759,Male,Single,35,High School,94554,Skilled Employee/Official,Mid-sized city,1
760,Female,Married,59,University,162591,Skilled Employee/Official,Mid-sized city,2
761,Female,Married,24,High School,106629,Skilled Employee/Official,Big city,0
762,Male,Single,24,other/unknown,70400,Unemployed/Unskilled,Small City,3
764,Male,Married,27,High School,121747,Skilled Employee/Official,Big city,0
765,Male,Married,40,High School,85060,Unemployed/Unskilled,Small City,3
766,Male,Married,31,High School,87630,Unemployed/Unskilled,Small City,3
767,Female,Married,31,High School,119673,Skilled Employee/Official,Small City,0
768,Male,Single,28,other/unknown,126060,Skilled Employee/Official,Big city,1
769,Male,Single,63,University,96145,Unemployed/Unskilled,Small City,2
770,Female,Married,26,High School,114830,Skilled Employee/Official,Small City,0
771,Female,Married,25,High School,194461,management / self-employed / highly qualified employee / officer,Big city,0
772,Male,Single,36,High School,150158,management / self-employed / highly qualified employee / officer,Big city,1
773,Male,Single,52,High School,136323,Skilled Employee/Official,Big city,1
775,Female,Married,25,High School,100198,Skilled Employee/Official,Small City,0
776,Male,Single,37,High School,123452,Skilled Employee/Official,Big city,1
777,Female,Married,25,High School,120723,Skilled Employee/Official,Mid-sized city,0
780,Male,Single,25,other/unknown,136300,Skilled Employee/Official,Mid-sized city,1
781,Male,Single,60,University,166988,Skilled Employee/Official,Big city,2
782,Male,Single,31,other/unknown,77265,Unemployed/Unskilled,Small City,3
783,Female,Married,23,High School,85967,Unemployed/Unskilled,Small City,3
785,Male,Single,35,High School,126054,Unemployed/Unskilled,Small City,3
786,Male,Single,40,High School,144589,Skilled Employee/Official,Small City,1
787,Male,Single,38,High School,116723,Skilled Employee/Official,Mid-sized city,1
788,Male,Single,50,High School,168637,Skilled Employee/Official,Mid-sized city,1
789,Male,Single,27,other/unknown,139119,Skilled Employee/Official,Mid-sized city,1
790,Female,Married,39,University,118610,Skilled Employee/Official,Big city,2
791,Male,Single,41,High School,183312,management / self-employed / highly qualified employee / officer,Big city,1
792,Male,Married,27,High School,96323,Skilled Employee/Official,Small City,0
793,Male,Married,51,University,149510,Skilled Employee/Official,Big city,2
794,Male,Single,32,other/unknown,141922,Skilled Employee/Official,Big city,1
795,Female,Married,22,High School,120233,Skilled Employee/Official,Small City,0
796,Male,Single,51,High School,172790,Skilled Employee/Official,Mid-sized city,1
797,Female,Married,22,High School,66720,Unemployed/Unskilled,Small City,3
798,Male,Married,54,University,113024,Skilled Employee/Official,Mid-sized city,2
799,Male,Single,35,High School,51791,Unemployed/Unskilled,Small City,3
800,Male,Single,54,High School,118408,Skilled Employee/Official,Big city,1
801,Female,Married,48,University,101616,Unemployed/Unskilled,Small City,2
802,Female,Married,24,High School,127250,Skilled Employee/Official,Small City,0
803,Male,Single,35,High School,97290,Skilled Employee/Official,Small City,1
804,Female,Married,24,High School,106970,Unemployed/Unskilled,Small City,3
805,Male,Single,24,other/unknown,168147,Skilled Employee/Official,Big city,1
806,Male,Married,26,High School,68468,Unemployed/Unskilled,Small City,3
809,Female,Married,26,High School,53903,Unemployed/Unskilled,Small City,3
810,Male,Married,26,High School,101511,Skilled Employee/Official,Big city,0
811,Male,Married,28,High School,69046,Unemployed/Unskilled,Small City,3
812,Male,Single,24,other/unknown,171584,Skilled Employee/Official,Mid-sized city,1
813,Male,Single,54,High School,132367,Skilled Employee/Official,Big city,1
814,Male,Single,46,High School,134433,Skilled Employee/Official,Big city,1
815,Female,Married,54,University,190518,Skilled Employee/Official,Small City,2
816,Male,Married,62,University,152367,Skilled Employee/Official,Mid-sized city,2
817,Female,Married,24,High School,101157,Skilled Employee/Official,Mid-sized city,0
819,Male,Married,26,High School,96716,Skilled Employee/Official,Big city,0
820,Male,Married,27,High School,95171,Skilled Employee/Official,Small City,0
821,Male,Married,24,High School,129162,Skilled Employee/Official,Big city,0
822,Male,Single,41,High School,118742,Skilled Employee/Official,Small City,1
823,Male,Single,47,High School,74511,Unemployed/Unskilled,Small City,3
824,Male,Married,35,High School,157272,management / self-employed / highly qualified employee / officer,Mid-sized city,0
825,Male,Married,30,High School,102374,Skilled Employee/Official,Small City,0
826,Female,Married,33,High School,131492,Skilled Employee/Official,Small City,0
827,Male,Single,36,High School,128702,Skilled Employee/Official,Big city,1
828,Male,Single,47,High School,177509,Skilled Employee/Official,Big city,1
829,Male,Single,38,High School,163451,Skilled Employee/Official,Mid-sized city,1
830,Male,Single,44,High School,144900,Skilled Employee/Official,Mid-sized city,1
831,Female,Married,23,High School,97115,Skilled Employee/Official,Big city,0
833,Female,Married,42,University,158405,Skilled Employee/Official,Small City,2
834,Female,Married,25,High School,97376,Unemployed/Unskilled,Small City,3
835,Male,Single,48,High School,108678,Skilled Employee/Official,Mid-sized city,1
836,Female,Married,21,High School,92351,Skilled Employee/Official,Small City,0
837,Female,Married,23,High School,61211,Unemployed/Unskilled,Small City,3
838,Male,Single,63,University,138644,Skilled Employee/Official,Small City,2
839,Male,Married,46,University,124824,Skilled Employee/Official,Big city,2
840,Male,Single,29,other/unknown,132852,Skilled Employee/Official,Small City,1
841,Male,Single,28,other/unknown,81069,Unemployed/Unskilled,Small City,3
842,Female,Married,23,High School,104094,Skilled Employee/Official,Big city,0
843,Male,Single,50,High School,114853,Skilled Employee/Official,Small City,1
844,Male,Single,47,High School,130344,Skilled Employee/Official,Big city,1
845,Male,Single,35,High School,135090,Skilled Employee/Official,Small City,1
847,Male,Married,28,High School,97390,Skilled Employee/Official,Mid-sized city,0
848,Male,Single,59,University,120160,Skilled Employee/Official,Small City,2
849,Male,Single,57,University,82277,Unemployed/Unskilled,Small City,2
850,Male,Married,33,High School,110844,Skilled Employee/Official,Big city,0
851,Male,Single,43,High School,133105,Skilled Employee/Official,Small City,1
852,Male,Single,35,High School,102042,Skilled Employee/Official,Small City,1
